wavelength,absorbance,drug_type
554.0,0.976,Methadone
558.0,0.976,Methadone
562.0,0.976,Methadone
566.0,0.976,Methadone
570.0,0.976,Methadone
574.0,0.976,Methadone
578.0,0.978,Methadone
582.0,0.978,Methadone
586.0,0.978,Methadone
590.0,0.978,Methadone
594.0,0.978,Methadone
598.0,0.978,Methadone
602.0,0.978,Methadone
606.0,0.98,Methadone
610.0,0.98,Methadone
614.0,0.98,Methadone
618.0,0.978,Methadone
622.0,0.978,Methadone
626.0,0.978,Methadone
630.0,0.975,Methadone
634.0,0.973,Methadone
638.0,0.973,Methadone
642.0,0.973,Methadone
646.0,0.973,Methadone
650.0,0.973,Methadone
654.0,0.975,Methadone
658.0,0.976,Methadone
662.0,0.975,Methadone
666.0,0.971,Methadone
670.0,0.971,Methadone
674.0,0.971,Methadone
678.0,0.971,Methadone
682.0,0.971,Methadone
686.0,0.971,Methadone
690.0,0.971,Methadone
694.0,0.971,Methadone
698.0,0.971,Methadone
702.0,0.971,Methadone
706.0,0.969,Methadone
710.0,0.969,Methadone
714.0,0.969,Methadone
718.0,0.967,Methadone
722.0,0.967,Methadone
726.0,0.966,Methadone
730.0,0.964,Methadone
734.0,0.96,Methadone
738.0,0.96,Methadone
742.0,0.959,Methadone
746.0,0.959,Methadone
750.0,0.959,Methadone
754.0,0.96,Methadone
758.0,0.962,Methadone
762.0,0.962,Methadone
766.0,0.962,Methadone
770.0,0.964,Methadone
774.0,0.964,Methadone
778.0,0.962,Methadone
782.0,0.96,Methadone
786.0,0.96,Methadone
790.0,0.96,Methadone
794.0,0.96,Methadone
798.0,0.96,Methadone
802.0,0.959,Methadone
806.0,0.959,Methadone
810.0,0.959,Methadone
814.0,0.959,Methadone
818.0,0.959,Methadone
822.0,0.959,Methadone
826.0,0.959,Methadone
830.0,0.959,Methadone
834.0,0.959,Methadone
838.0,0.959,Methadone
842.0,0.957,Methadone
846.0,0.959,Methadone
850.0,0.959,Methadone
854.0,0.959,Methadone
858.0,0.96,Methadone
862.0,0.962,Methadone
866.0,0.964,Methadone
870.0,0.964,Methadone
874.0,0.966,Methadone
878.0,0.966,Methadone
882.0,0.969,Methadone
886.0,0.969,Methadone
890.0,0.967,Methadone
894.0,0.966,Methadone
898.0,0.964,Methadone
902.0,0.962,Methadone
906.0,0.96,Methadone
910.0,0.96,Methadone
914.0,0.96,Methadone
918.0,0.96,Methadone
922.0,0.96,Methadone
926.0,0.96,Methadone
930.0,0.96,Methadone
934.0,0.96,Methadone
938.0,0.96,Methadone
942.0,0.962,Methadone
946.0,0.964,Methadone
950.0,0.964,Methadone
954.0,0.96,Methadone
958.0,0.959,Methadone
962.0,0.957,Methadone
966.0,0.955,Methadone
970.0,0.955,Methadone
974.0,0.959,Methadone
978.0,0.96,Methadone
982.0,0.967,Methadone
986.0,0.973,Methadone
990.0,0.969,Methadone
994.0,0.964,Methadone
998.0,0.959,Methadone
1002.0,0.95,Methadone
1006.0,0.948,Methadone
1010.0,0.946,Methadone
1014.0,0.942,Methadone
1018.0,0.939,Methadone
1022.0,0.937,Methadone
1026.0,0.937,Methadone
1030.0,0.939,Methadone
1034.0,0.939,Methadone
1038.0,0.941,Methadone
1042.0,0.942,Methadone
1046.0,0.941,Methadone
1050.0,0.942,Methadone
1054.0,0.942,Methadone
1058.0,0.944,Methadone
1062.0,0.944,Methadone
1066.0,0.944,Methadone
1070.0,0.941,Methadone
1074.0,0.941,Methadone
1078.0,0.941,Methadone
1082.0,0.939,Methadone
1086.0,0.937,Methadone
1090.0,0.937,Methadone
1094.0,0.937,Methadone
1098.0,0.937,Methadone
1102.0,0.937,Methadone
1106.0,0.937,Methadone
1110.0,0.937,Methadone
1114.0,0.937,Methadone
1118.0,0.937,Methadone
1122.0,0.939,Methadone
1126.0,0.939,Methadone
1130.0,0.941,Methadone
1134.0,0.941,Methadone
1138.0,0.939,Methadone
1142.0,0.939,Methadone
1146.0,0.939,Methadone
1150.0,0.939,Methadone
1154.0,0.939,Methadone
1158.0,0.939,Methadone
1162.0,0.937,Methadone
1166.0,0.937,Methadone
1170.0,0.937,Methadone
1174.0,0.935,Methadone
1178.0,0.935,Methadone
1182.0,0.934,Methadone
1186.0,0.932,Methadone
1190.0,0.93,Methadone
1194.0,0.928,Methadone
1198.0,0.925,Methadone
1202.0,0.923,Methadone
1206.0,0.921,Methadone
1210.0,0.923,Methadone
1214.0,0.923,Methadone
1218.0,0.921,Methadone
1222.0,0.919,Methadone
