wavelength,absorbance,drug_type
554.0,0.9261,Heroin
558.0,0.9261,Heroin
562.0,0.9261,Heroin
566.0,0.9261,Heroin
570.0,0.9262,Heroin
574.0,0.9262,Heroin
578.0,0.9262,Heroin
582.0,0.9263,Heroin
586.0,0.9263,Heroin
590.0,0.9264,Heroin
594.0,0.9264,Heroin
598.0,0.9265,Heroin
602.0,0.9265,Heroin
606.0,0.9266,Heroin
610.0,0.9266,Heroin
614.0,0.9266,Heroin
618.0,0.9267,Heroin
622.0,0.9267,Heroin
626.0,0.9267,Heroin
630.0,0.9267,Heroin
634.0,0.9268,Heroin
638.0,0.9268,Heroin
642.0,0.9268,Heroin
646.0,0.9268,Heroin
650.0,0.9268,Heroin
654.0,0.9268,Heroin
658.0,0.927,Heroin
662.0,0.927,Heroin
666.0,0.9271,Heroin
670.0,0.9271,Heroin
674.0,0.9271,Heroin
678.0,0.9271,Heroin
682.0,0.9273,Heroin
686.0,0.9273,Heroin
690.0,0.9273,Heroin
694.0,0.9274,Heroin
698.0,0.9274,Heroin
702.0,0.9274,Heroin
706.0,0.9274,Heroin
710.0,0.9275,Heroin
714.0,0.9275,Heroin
718.0,0.9275,Heroin
722.0,0.9275,Heroin
726.0,0.9277,Heroin
730.0,0.9277,Heroin
734.0,0.9278,Heroin
738.0,0.9278,Heroin
742.0,0.9278,Heroin
746.0,0.9278,Heroin
750.0,0.9278,Heroin
754.0,0.9278,Heroin
758.0,0.928,Heroin
762.0,0.928,Heroin
766.0,0.928,Heroin
770.0,0.9281,Heroin
774.0,0.9281,Heroin
778.0,0.9281,Heroin
782.0,0.9282,Heroin
786.0,0.9282,Heroin
790.0,0.9283,Heroin
794.0,0.9283,Heroin
798.0,0.9284,Heroin
802.0,0.9284,Heroin
806.0,0.9285,Heroin
810.0,0.9285,Heroin
814.0,0.9285,Heroin
818.0,0.9285,Heroin
822.0,0.9285,Heroin
826.0,0.9285,Heroin
830.0,0.9285,Heroin
834.0,0.9285,Heroin
838.0,0.9285,Heroin
842.0,0.9285,Heroin
846.0,0.9285,Heroin
850.0,0.9285,Heroin
854.0,0.9285,Heroin
858.0,0.9286,Heroin
862.0,0.9286,Heroin
