wavelength,absorbance,drug_type
667,0.0892689019566192,Citric Acid
668,0.0896958319314312,Citric Acid
669,0.090176630349088,Citric Acid
670,0.0909255985990956,Citric Acid
671,0.0919977988274463,Citric Acid
672,0.0938266363559513,Citric Acid
673,0.0959881164026117,Citric Acid
674,0.0988142198628497,Citric Acid
675,0.1024828705994746,Citric Acid
676,0.1066821883838881,Citric Acid
677,0.111315153340301,Citric Acid
678,0.1153745367437655,Citric Acid
679,0.1186153432294271,Citric Acid
680,0.1243022380197921,Citric Acid
681,0.1297131710074086,Citric Acid
682,0.1330631822683606,Citric Acid
683,0.135963817274225,Citric Acid
684,0.1378089689484028,Citric Acid
685,0.1389437554231265,Citric Acid
686,0.1401414795190071,Citric Acid
687,0.1415229581866594,Citric Acid
688,0.1427278264359586,Citric Acid
689,0.1439965460027789,Citric Acid
690,0.1452689827860577,Citric Acid
691,0.1470323089711816,Citric Acid
692,0.1488028238258393,Citric Acid
693,0.1507034591652735,Citric Acid
694,0.1518108830086013,Citric Acid
695,0.1515645446685291,Citric Acid
696,0.1446020033459312,Citric Acid
697,0.135548252841817,Citric Acid
698,0.1236666709136197,Citric Acid
699,0.1006172944667349,Citric Acid
700,0.0903904895098311,Citric Acid
701,0.0831777154040879,Citric Acid
702,0.0781055290708976,Citric Acid
703,0.0743270060787594,Citric Acid
704,0.0722191506526256,Citric Acid
705,0.0715017318763092,Citric Acid
706,0.0715017318763092,Citric Acid
707,0.071552936790818,Citric Acid
708,0.0707854962626061,Citric Acid
709,0.0708366167949355,Citric Acid
710,0.0710411591191702,Citric Acid
711,0.0717065877677977,Citric Acid
712,0.0731432910503076,Citric Acid
713,0.0746363326458984,Citric Acid
714,0.0761862789088103,Citric Acid
715,0.0778456747689411,Citric Acid
716,0.0794592834975202,Citric Acid
717,0.0811312566190154,Citric Acid
718,0.0828622472435557,Citric Acid
719,0.0846001647877301,Citric Acid
720,0.08634506491338,Citric Acid
721,0.0883098412461388,Citric Acid
722,0.0903370148459818,Citric Acid
723,0.0922662630023445,Citric Acid
724,0.0942580726083985,Citric Acid
725,0.0963132682634975,Citric Acid
726,0.0992506419389204,Citric Acid
727,0.1022080180607753,Citric Acid
728,0.1051303432547474,Citric Acid
729,0.1079610796587084,Citric Acid
730,0.1096907831000515,Citric Acid
731,0.1106422631110684,Citric Acid
732,0.1114835389250547,Citric Acid
733,0.1126640696008329,Citric Acid
734,0.1144126438103439,Citric Acid
735,0.1177601519811765,Citric Acid
736,0.1208467538157538,Citric Acid
737,0.1238976786222063,Citric Acid
738,0.1270283692615565,Citric Acid
739,0.1310618216670887,Citric Acid
740,0.1351923709738529,Citric Acid
741,0.1399016703014819,Citric Acid
742,0.145026326273583,Citric Acid
743,0.1502121757623145,Citric Acid
744,0.155460697870992,Citric Acid
745,0.1608992172928468,Citric Acid
746,0.1664067060015437,Citric Acid
747,0.1721140172101442,Citric Acid
748,0.1777665197611559,Citric Acid
749,0.183493562953643,Citric Acid
750,0.1894314707835871,Citric Acid
751,0.1952473978495395,Citric Acid
752,0.2011422682525144,Citric Acid
753,0.207188228751853,Citric Acid
754,0.2132485778544388,Citric Acid
755,0.2202592488232595,Citric Acid
756,0.2282655746132307,Citric Acid
757,0.2367217889810213,Citric Acid
758,0.2450404122782901,Citric Acid
759,0.2531323721495705,Citric Acid
760,0.2622509261084428,Citric Acid
761,0.2723774220308627,Citric Acid
762,0.2823294969977378,Citric Acid
763,0.2922595457262288,Citric Acid
764,0.2999889376778876,Citric Acid
765,0.3054825461888437,Citric Acid
766,0.3110465373625821,Citric Acid
767,0.3161427945996536,Citric Acid
768,0.3208447587166461,Citric Acid
769,0.3250470519514347,Citric Acid
770,0.3285494457875053,Citric Acid
771,0.3319870283581679,Citric Acid
772,0.3345128192171893,Citric Acid
773,0.3380927072339792,Citric Acid
774,0.3437100988086404,Citric Acid
775,0.3504704340521811,Citric Acid
776,0.3594191935103474,Citric Acid
777,0.3721223054200285,Citric Acid
778,0.3871102307125152,Citric Acid
779,0.3962062958630371,Citric Acid
780,0.3982658517398951,Citric Acid
781,0.3746875490383261,Citric Acid
782,0.3547742884645838,Citric Acid
783,0.3241300446810433,Citric Acid
784,0.2856702402547669,Citric Acid
785,0.2596373105057561,Citric Acid
786,0.2401811226251737,Citric Acid
787,0.2230809971579535,Citric Acid
788,0.2115487929765444,Citric Acid
789,0.2017638236320643,Citric Acid
790,0.1932774969238187,Citric Acid
791,0.1870866433571444,Citric Acid
792,0.1814442207021974,Citric Acid
793,0.1769824765539507,Citric Acid
794,0.1725661045992207,Citric Acid
795,0.1692830505631023,Citric Acid
796,0.1660882849286215,Citric Acid
797,0.1627272974976997,Citric Acid
798,0.1592667653881933,Citric Acid
799,0.1544678825064245,Citric Acid
800,0.149170040151469,Citric Acid
801,0.1444202774982821,Citric Acid
802,0.1399616101928066,Citric Acid
803,0.1354295931465697,Citric Acid
804,0.130944381298092,Citric Acid
805,0.128485441291618,Citric Acid
806,0.1267375405612732,Citric Acid
807,0.1268538486717443,Citric Acid
808,0.1258662211720277,Citric Acid
809,0.1286022185125161,Citric Acid
810,0.1322379753497993,Citric Acid
811,0.1411621485714145,Citric Acid
812,0.1504577479949833,Citric Acid
813,0.1627272974976997,Citric Acid
814,0.1808510571928658,Citric Acid
815,0.1969527895088713,Citric Acid
816,0.2019712065959269,Citric Acid
817,0.2012112860487507,Citric Acid
818,0.1844886626372358,Citric Acid
819,0.1695396499690329,Citric Acid
820,0.1551501991933611,Citric Acid
821,0.1408016384661226,Citric Acid
822,0.1291281049322571,Citric Acid
823,0.1197582241045196,Citric Acid
824,0.1124389590699909,Citric Acid
825,0.1079610796587084,Citric Acid
826,0.1040804546899839,Citric Acid
827,0.1002341980556138,Citric Acid
828,0.0970186002024971,Citric Acid
829,0.0939883747285872,Citric Acid
830,0.0911934005943257,Citric Acid
831,0.0890022836893572,Citric Acid
832,0.0869282596907492,Citric Acid
833,0.0855510593014457,Citric Acid
834,0.0858155665767536,Citric Acid
835,0.0862391135876769,Citric Acid
836,0.084864093377988,Citric Acid
837,0.0830199526796178,Citric Acid
838,0.0813407065781767,Citric Acid
839,0.080189979829804,Citric Acid
840,0.0804512410311519,Citric Acid
841,0.0807126594956173,Citric Acid
842,0.0785736589847344,Citric Acid
843,0.0763415782066937,Citric Acid
844,0.0762380391712997,Citric Acid
845,0.0766005338412835,Citric Acid
846,0.0770670434447883,Citric Acid
847,0.07727454200674,Citric Acid
848,0.0772226580712021,Citric Acid
849,0.0757724187398822,Citric Acid
850,0.0770151842911171,Citric Acid
851,0.0769114845576007,Citric Acid
852,0.0768596439747993,Citric Acid
853,0.0767559813697235,Citric Acid
854,0.0766523435021745,Citric Acid
855,0.0765487303603485,Citric Acid
856,0.0764969330578954,Citric Acid
857,0.0764969330578954,Citric Acid
858,0.0766005338412835,Citric Acid
859,0.0767559813697235,Citric Acid
860,0.0775859758543657,Citric Acid
861,0.0788339493622613,Citric Acid
862,0.0804512410311519,Citric Acid
863,0.0830725338870073,Citric Acid
864,0.086080235048534,Citric Acid
865,0.0894823144827335,Citric Acid
866,0.0928574689968595,Citric Acid
867,0.0963674839157623,Citric Acid
868,0.1007268126823961,Citric Acid
869,0.1057393355530119,Citric Acid
870,0.111932886592563,Citric Acid
871,0.1177031990623482,Citric Acid
872,0.123493495734119,Citric Acid
873,0.12930354201075,Citric Acid
874,0.1352516643703411,Citric Acid
875,0.1412222626945506,Citric Acid
876,0.1472151313194521,Citric Acid
877,0.1521806527047607,Citric Acid
878,0.1559579579589834,Citric Acid
879,0.1572659810517304,Citric Acid
880,0.1570788792400177,Citric Acid
881,0.1446625955304596,Citric Acid
882,0.1335354340282596,Citric Acid
883,0.1227438668864138,Citric Acid
884,0.1122702027119696,Citric Acid
885,0.1019882612024983,Citric Acid
886,0.0928036897283983,Citric Acid
887,0.087246696328677,Citric Acid
888,0.083440780698886,Citric Acid
889,0.0809742354126397,Citric Acid
890,0.0799810839710851,Citric Acid
891,0.0791986181743457,Citric Acid
892,0.078209514341813,Citric Acid
893,0.0789381092097214,Citric Acid
894,0.0806603632125867,Citric Acid
895,0.0847585026938056,Citric Acid
896,0.0900163050601559,Citric Acid
897,0.100453068909133,Citric Acid
898,0.112945621949043,Citric Acid
899,0.1258081953209288,Citric Acid
900,0.1367961409713705,Citric Acid
901,0.1406815349028838,Citric Acid
902,0.142004504439076,Citric Acid
