wavelength,absorbance,drug_type
554.0,0.0003036,1_cocaine
558.0,0.0002607,1_cocaine
562.0,0.0001551,1_cocaine
566.0,0.0001551,1_cocaine
570.0,0.0001254,1_cocaine
574.0,6.93e-05,1_cocaine
578.0,5.94e-05,1_cocaine
582.0,6.93e-05,1_cocaine
586.0,8.25e-05,1_cocaine
590.0,7.26e-05,1_cocaine
594.0,3.63e-05,1_cocaine
598.0,0.0,1_cocaine
602.0,6.6e-05,1_cocaine
606.0,9.9e-05,1_cocaine
610.0,0.0001188,1_cocaine
614.0,0.0002277,1_cocaine
618.0,0.0003762,1_cocaine
622.0,0.0004323,1_cocaine
626.0,0.0003663,1_cocaine
630.0,0.0002607,1_cocaine
634.0,0.0001815,1_cocaine
638.0,0.0001716,1_cocaine
642.0,0.0001815,1_cocaine
646.0,0.0001683,1_cocaine
650.0,0.0001683,1_cocaine
654.0,0.0001617,1_cocaine
658.0,0.0002244,1_cocaine
662.0,0.0003465,1_cocaine
666.0,0.0004917,1_cocaine
670.0,0.0006171,1_cocaine
674.0,0.0007788,1_cocaine
678.0,0.001155,1_cocaine
682.0,0.001518,1_cocaine
686.0,0.0016104,1_cocaine
690.0,0.0016863,1_cocaine
694.0,0.0018711,1_cocaine
698.0,0.0021549,1_cocaine
702.0,0.0028017,1_cocaine
706.0,0.0039138,1_cocaine
710.0,0.0053658,1_cocaine
714.0,0.0061347,1_cocaine
718.0,0.0053361,1_cocaine
722.0,0.0037158,1_cocaine
726.0,0.002409,1_cocaine
730.0,0.001749,1_cocaine
734.0,0.0013761,1_cocaine
738.0,0.0010527,1_cocaine
742.0,0.0008943,1_cocaine
746.0,0.0008382,1_cocaine
750.0,0.000792,1_cocaine
754.0,0.000693,1_cocaine
758.0,0.0005775,1_cocaine
762.0,0.0005709,1_cocaine
766.0,0.0007293,1_cocaine
770.0,0.0010329,1_cocaine
774.0,0.0013365,1_cocaine
778.0,0.0014454,1_cocaine
782.0,0.0012474,1_cocaine
786.0,0.000924,1_cocaine
790.0,0.0006963,1_cocaine
794.0,0.0006006,1_cocaine
798.0,0.0006369,1_cocaine
802.0,0.0007194,1_cocaine
806.0,0.0007326,1_cocaine
810.0,0.0006138,1_cocaine
814.0,0.0004587,1_cocaine
818.0,0.0003993,1_cocaine
822.0,0.0003762,1_cocaine
826.0,0.0004224,1_cocaine
830.0,0.0004983,1_cocaine
834.0,0.0005445,1_cocaine
838.0,0.0005544,1_cocaine
842.0,0.0005544,1_cocaine
846.0,0.0005709,1_cocaine
850.0,0.0005841,1_cocaine
854.0,0.0006303,1_cocaine
858.0,0.0007161,1_cocaine
862.0,0.0007788,1_cocaine
866.0,0.0007887,1_cocaine
870.0,0.0007458,1_cocaine
874.0,0.0007029,1_cocaine
878.0,0.0006402,1_cocaine
882.0,0.0005775,1_cocaine
886.0,0.0005346,1_cocaine
890.0,0.0004851,1_cocaine
894.0,0.0004587,1_cocaine
898.0,0.0004389,1_cocaine
902.0,0.0004026,1_cocaine
906.0,0.0003762,1_cocaine
910.0,0.0003564,1_cocaine
914.0,0.0003168,1_cocaine
918.0,0.0003201,1_cocaine
922.0,0.0003729,1_cocaine
926.0,0.0004323,1_cocaine
930.0,0.0005082,1_cocaine
934.0,0.0005544,1_cocaine
938.0,0.0005544,1_cocaine
942.0,0.0005511,1_cocaine
946.0,0.0006204,1_cocaine
950.0,0.0006864,1_cocaine
954.0,0.0007821,1_cocaine
958.0,0.0008679,1_cocaine
962.0,0.0008877,1_cocaine
966.0,0.0009075,1_cocaine
970.0,0.0009174,1_cocaine
974.0,0.0009768,1_cocaine
978.0,0.0011187,1_cocaine
982.0,0.001254,1_cocaine
986.0,0.0013431,1_cocaine
990.0,0.0014487,1_cocaine
994.0,0.0015675,1_cocaine
998.0,0.0017325,1_cocaine
1002.0,0.0019899,1_cocaine
1006.0,0.0024024,1_cocaine
1058.0,0.003564,1_cocaine
1082.0,0.0037653,1_cocaine
1118.0,0.0175593,1_cocaine
1134.0,0.0100386,1_cocaine
1162.0,0.0062139,1_cocaine
1206.0,0.0038379,1_cocaine
1210.0,0.0039831,1_cocaine
1258.0,0.0140844,1_cocaine
1262.0,0.017061,1_cocaine
1266.0,0.0213576,1_cocaine
1270.0,0.0267432,1_cocaine
1274.0,0.0316965,1_cocaine
1278.0,0.033,1_cocaine
1282.0,0.028578,1_cocaine
1286.0,0.0207999,1_cocaine
1290.0,0.0139491,1_cocaine
1294.0,0.009801,1_cocaine
1298.0,0.0077814,1_cocaine
1302.0,0.0068046,1_cocaine
1306.0,0.0061776,1_cocaine
1310.0,0.0057453,1_cocaine
1314.0,0.0057189,1_cocaine
1318.0,0.00594,1_cocaine
1322.0,0.00561,1_cocaine
