wavelength,absorbance,drug_type
550.0,32.0,amphetamine
554.0,47.66,amphetamine
558.0,0.0,amphetamine
562.0,32.0,amphetamine
566.0,1.0,amphetamine
570.0,0.0,amphetamine
574.0,16672.0,amphetamine
578.0,8192.0,amphetamine
582.0,65536.0,amphetamine
586.0,15798.67,amphetamine
590.0,-1.0,amphetamine
594.0,-1.0,amphetamine
598.0,396276544.0,amphetamine
602.0,408818560.0,amphetamine
606.0,424002656.0,amphetamine
610.0,441494272.0,amphetamine
614.0,460794880.0,amphetamine
618.0,480088992.0,amphetamine
622.0,506123072.0,amphetamine
626.0,541853696.0,amphetamine
630.0,574838400.0,amphetamine
634.0,615397696.0,amphetamine
638.0,686336128.0,amphetamine
642.0,725320320.0,amphetamine
646.0,700573056.0,amphetamine
650.0,597497856.0,amphetamine
654.0,490160576.0,amphetamine
658.0,448678464.0,amphetamine
662.0,457788064.0,amphetamine
666.0,486344896.0,amphetamine
670.0,522266560.0,amphetamine
674.0,563864128.0,amphetamine
678.0,608274112.0,amphetamine
682.0,655875328.0,amphetamine
686.0,701653312.0,amphetamine
690.0,746220288.0,amphetamine
694.0,791936384.0,amphetamine
698.0,830360960.0,amphetamine
702.0,837795520.0,amphetamine
706.0,795613312.0,amphetamine
710.0,712160640.0,amphetamine
714.0,626451264.0,amphetamine
718.0,571122112.0,amphetamine
722.0,551136064.0,amphetamine
726.0,555579520.0,amphetamine
730.0,576861504.0,amphetamine
734.0,607189952.0,amphetamine
738.0,636642368.0,amphetamine
742.0,653939520.0,amphetamine
746.0,658376832.0,amphetamine
750.0,662126272.0,amphetamine
754.0,678392640.0,amphetamine
758.0,709038656.0,amphetamine
762.0,742084672.0,amphetamine
766.0,756784064.0,amphetamine
770.0,743033728.0,amphetamine
774.0,703293184.0,amphetamine
778.0,653090560.0,amphetamine
782.0,608400448.0,amphetamine
786.0,579168384.0,amphetamine
790.0,565462144.0,amphetamine
794.0,562486272.0,amphetamine
798.0,564659008.0,amphetamine
802.0,568108224.0,amphetamine
806.0,568453952.0,amphetamine
810.0,568022784.0,amphetamine
814.0,577262848.0,amphetamine
818.0,607668928.0,amphetamine
822.0,656367616.0,amphetamine
826.0,708820544.0,amphetamine
830.0,746082432.0,amphetamine
834.0,758001984.0,amphetamine
838.0,741925376.0,amphetamine
842.0,703622976.0,amphetamine
846.0,650204800.0,amphetamine
850.0,589444672.0,amphetamine
854.0,527120544.0,amphetamine
858.0,469608800.0,amphetamine
862.0,421848000.0,amphetamine
866.0,388522080.0,amphetamine
870.0,371253728.0,amphetamine
874.0,371201184.0,amphetamine
878.0,385050592.0,amphetamine
882.0,406119776.0,amphetamine
886.0,423641568.0,amphetamine
890.0,430280864.0,amphetamine
894.0,424079232.0,amphetamine
898.0,409043488.0,amphetamine
902.0,389416000.0,amphetamine
906.0,370425120.0,amphetamine
910.0,353858240.0,amphetamine
914.0,342198176.0,amphetamine
918.0,335442432.0,amphetamine
922.0,334662784.0,amphetamine
926.0,338680800.0,amphetamine
930.0,348153344.0,amphetamine
934.0,362699840.0,amphetamine
938.0,383799424.0,amphetamine
942.0,409431712.0,amphetamine
946.0,435781024.0,amphetamine
950.0,458327968.0,amphetamine
954.0,474356576.0,amphetamine
958.0,481219072.0,amphetamine
962.0,479399840.0,amphetamine
966.0,471983712.0,amphetamine
970.0,464401024.0,amphetamine
974.0,458573312.0,amphetamine
978.0,456938208.0,amphetamine
982.0,458988480.0,amphetamine
986.0,462346272.0,amphetamine
990.0,461500096.0,amphetamine
994.0,452700416.0,amphetamine
998.0,435433088.0,amphetamine
1002.0,412777664.0,amphetamine
1006.0,387508384.0,amphetamine
1010.0,365220480.0,amphetamine
1014.0,348194752.0,amphetamine
1018.0,336690080.0,amphetamine
1022.0,328898624.0,amphetamine
1026.0,323538336.0,amphetamine
1030.0,318513952.0,amphetamine
1034.0,315237920.0,amphetamine
1038.0,315462208.0,amphetamine
1042.0,321198944.0,amphetamine
1046.0,331152704.0,amphetamine
1050.0,344916416.0,amphetamine
1054.0,361508288.0,amphetamine
1058.0,380288000.0,amphetamine
1062.0,398219296.0,amphetamine
1066.0,414243936.0,amphetamine
1070.0,427196352.0,amphetamine
1074.0,436979488.0,amphetamine
1078.0,442136000.0,amphetamine
1082.0,442498016.0,amphetamine
1086.0,437694368.0,amphetamine
1090.0,429138752.0,amphetamine
1094.0,417021440.0,amphetamine
1098.0,403659072.0,amphetamine
1102.0,390340384.0,amphetamine
1106.0,379391008.0,amphetamine
1110.0,373288096.0,amphetamine
1114.0,373754272.0,amphetamine
1118.0,379482976.0,amphetamine
1122.0,390556064.0,amphetamine
1126.0,405885856.0,amphetamine
1130.0,426975168.0,amphetamine
1134.0,457010656.0,amphetamine
1138.0,500278592.0,amphetamine
1142.0,553051904.0,amphetamine
1146.0,600886336.0,amphetamine
1150.0,620966080.0,amphetamine
1154.0,599910272.0,amphetamine
1158.0,542575104.0,amphetamine
1162.0,467130624.0,amphetamine
1166.0,391406208.0,amphetamine
1170.0,327280448.0,amphetamine
1174.0,277125760.0,amphetamine
1178.0,240163488.0,amphetamine
1182.0,213399184.0,amphetamine
1186.0,193743536.0,amphetamine
1190.0,178680288.0,amphetamine
1194.0,167893216.0,amphetamine
1198.0,160915232.0,amphetamine
1202.0,157467552.0,amphetamine
1206.0,156294544.0,amphetamine
1210.0,156712304.0,amphetamine
1214.0,157045472.0,amphetamine
1218.0,157005904.0,amphetamine
1222.0,156037744.0,amphetamine
1226.0,154759936.0,amphetamine
1230.0,153128592.0,amphetamine
1234.0,151888928.0,amphetamine
1238.0,150735136.0,amphetamine
1242.0,150173808.0,amphetamine
1246.0,149931760.0,amphetamine
1250.0,150345280.0,amphetamine
1254.0,150883504.0,amphetamine
1258.0,151897632.0,amphetamine
1262.0,153267888.0,amphetamine
1266.0,155258832.0,amphetamine
1270.0,157311584.0,amphetamine
1274.0,160072144.0,amphetamine
1278.0,163154336.0,amphetamine
1282.0,166360496.0,amphetamine
1286.0,168639664.0,amphetamine
1290.0,170562688.0,amphetamine
1294.0,172007472.0,amphetamine
1298.0,173630592.0,amphetamine
1302.0,174909008.0,amphetamine
1306.0,176388272.0,amphetamine
1310.0,177965776.0,amphetamine
1314.0,180201056.0,amphetamine
1318.0,182719376.0,amphetamine
1322.0,186118000.0,amphetamine
1326.0,189711984.0,amphetamine
1330.0,193929616.0,amphetamine
1334.0,198332288.0,amphetamine
1338.0,203329456.0,amphetamine
1342.0,209090832.0,amphetamine
1346.0,215864368.0,amphetamine
1350.0,223219872.0,amphetamine
1354.0,232395376.0,amphetamine
1358.0,243438304.0,amphetamine
1362.0,257095360.0,amphetamine
1366.0,273424320.0,amphetamine
1370.0,292430368.0,amphetamine
1374.0,312626112.0,amphetamine
1378.0,333130464.0,amphetamine
1382.0,350956736.0,amphetamine
1386.0,364514592.0,amphetamine
1390.0,374645376.0,amphetamine
1394.0,385993376.0,amphetamine
1398.0,402438272.0,amphetamine
1402.0,427993152.0,amphetamine
1406.0,458615616.0,amphetamine
1410.0,480556480.0,amphetamine
1414.0,482258080.0,amphetamine
1418.0,470031232.0,amphetamine
1422.0,459820224.0,amphetamine
1426.0,464340320.0,amphetamine
1430.0,483014720.0,amphetamine
1434.0,507970752.0,amphetamine
1438.0,529137184.0,amphetamine
1442.0,545407808.0,amphetamine
1446.0,563225984.0,amphetamine
1450.0,588238784.0,amphetamine
1454.0,614106624.0,amphetamine
1458.0,630031936.0,amphetamine
1462.0,626777664.0,amphetamine
1466.0,601641792.0,amphetamine
1470.0,557014464.0,amphetamine
1474.0,500553248.0,amphetamine
1478.0,442101760.0,amphetamine
1482.0,393873952.0,amphetamine
1486.0,362821632.0,amphetamine
1490.0,349436896.0,amphetamine
1494.0,350348704.0,amphetamine
1498.0,363024608.0,amphetamine
1582.0,462096064.0,amphetamine
1614.0,898084032.0,amphetamine
1618.0,886228672.0,amphetamine
1630.0,797504064.0,amphetamine
1634.0,825433280.0,amphetamine
1678.0,494877920.0,amphetamine
1734.0,277651360.0,amphetamine
1774.0,212910672.0,amphetamine
1802.0,250344512.0,amphetamine
1826.0,230087568.0,amphetamine
1930.0,512131328.0,amphetamine
2090.0,243140800.0,amphetamine
2206.0,531080896.0,amphetamine
2210.0,532663392.0,amphetamine
2214.0,532508864.0,amphetamine
2254.0,444230304.0,amphetamine
2274.0,424878528.0,amphetamine
2322.0,334980288.0,amphetamine
2366.0,169049024.0,amphetamine
2374.0,156595856.0,amphetamine
2378.0,141124512.0,amphetamine
2478.0,999999936.0,amphetamine
2486.0,951019456.0,amphetamine
2606.0,116953448.0,amphetamine
2630.0,94855456.0,amphetamine
2646.0,81123104.0,amphetamine
2666.0,77477568.0,amphetamine
2682.0,64212596.0,amphetamine
2702.0,73987384.0,amphetamine
2714.0,68507264.0,amphetamine
2726.0,65023364.0,amphetamine
2746.0,53105208.0,amphetamine
2754.0,58028388.0,amphetamine
2762.0,66168480.0,amphetamine
2778.0,42487616.0,amphetamine
2790.0,43755708.0,amphetamine
2814.0,31393756.0,amphetamine
2822.0,38919296.0,amphetamine
2826.0,37021600.0,amphetamine
2834.0,40170756.0,amphetamine
2850.0,30055162.0,amphetamine
2858.0,34579448.0,amphetamine
2866.0,34745912.0,amphetamine
2882.0,28017264.0,amphetamine
2894.0,32733980.0,amphetamine
2906.0,29554652.0,amphetamine
2922.0,38210148.0,amphetamine
2930.0,29065066.0,amphetamine
2938.0,35369400.0,amphetamine
2946.0,33231768.0,amphetamine
2954.0,32438122.0,amphetamine
2966.0,33375070.0,amphetamine
2970.0,29659088.0,amphetamine
2986.0,31971234.0,amphetamine
2990.0,32794918.0,amphetamine
2998.0,36106860.0,amphetamine
3006.0,33731548.0,amphetamine
3010.0,33198658.0,amphetamine
3018.0,34678064.0,amphetamine
