wavelength,absorbance,drug_type
554.0,97.0,water
602.0,629.0,water
618.0,1561.0,water
626.0,1300.0,water
638.0,573.0,water
646.0,321.0,water
666.0,514.0,water
682.0,898.0,water
690.0,791.0,water
698.0,508.0,water
714.0,220.0,water
722.0,512.0,water
734.0,348.0,water
742.0,752.0,water
750.0,322.0,water
758.0,377.0,water
770.0,213.0,water
778.0,325.0,water
786.0,201.0,water
794.0,564.0,water
806.0,474.0,water
822.0,321.0,water
830.0,306.0,water
838.0,259.0,water
854.0,310.0,water
866.0,241.0,water
874.0,280.0,water
882.0,282.0,water
890.0,236.0,water
910.0,309.0,water
918.0,235.0,water
926.0,256.0,water
934.0,228.0,water
946.0,277.0,water
954.0,314.0,water
962.0,239.0,water
970.0,298.0,water
978.0,258.0,water
990.0,281.0,water
998.0,310.0,water
1006.0,247.0,water
1014.0,294.0,water
1022.0,306.0,water
1034.0,314.0,water
1042.0,298.0,water
1050.0,270.0,water
1058.0,259.0,water
1066.0,328.0,water
1074.0,334.0,water
1086.0,268.0,water
1094.0,301.0,water
1102.0,271.0,water
1198.0,314.0,water
1210.0,348.0,water
1218.0,314.0,water
1226.0,282.0,water
1234.0,331.0,water
1246.0,375.0,water
1254.0,324.0,water
1262.0,338.0,water
1270.0,308.0,water
1286.0,377.0,water
1298.0,298.0,water
1306.0,325.0,water
1314.0,345.0,water
1322.0,355.0,water
1334.0,363.0,water
1342.0,320.0,water
1350.0,355.0,water
1358.0,326.0,water
1366.0,563.0,water
1386.0,478.0,water
1394.0,862.0,water
1410.0,324.0,water
1438.0,532.0,water
1450.0,728.0,water
1458.0,704.0,water
1474.0,1377.0,water
1486.0,943.0,water
1494.0,2016.0,water
1510.0,1526.0,water
1518.0,403.0,water
1522.0,6621.0,water
1526.0,2679.0,water
1534.0,1234.0,water
1546.0,1319.0,water
1562.0,7480.0,water
1570.0,2250.0,water
1586.0,716.0,water
1598.0,2708.0,water
1606.0,3680.0,water
1614.0,10000.0,water
1618.0,6087.0,water
1630.0,5270.0,water
1638.0,4122.0,water
1646.0,9560.0,water
1654.0,3325.0,water
1662.0,8971.0,water
1670.0,2175.0,water
1682.0,1973.0,water
1690.0,0.0,water
1698.0,540.0,water
1706.0,447.0,water
1718.0,989.0,water
1726.0,1317.0,water
1734.0,208.0,water
1746.0,1967.0,water
1766.0,1834.0,water
1782.0,1568.0,water
1798.0,2173.0,water
1802.0,7444.0,water
1814.0,1930.0,water
1822.0,7816.0,water
1830.0,905.0,water
1838.0,7275.0,water
1846.0,2933.0,water
1870.0,1605.0,water
1882.0,1879.0,water
1890.0,2083.0,water
1902.0,2649.0,water
1910.0,1188.0,water
1922.0,813.0,water
1942.0,638.0,water
1958.0,298.0,water
1966.0,777.0,water
1982.0,425.0,water
2006.0,515.0,water
2034.0,350.0,water
2042.0,369.0,water
2054.0,345.0,water
2066.0,277.0,water
2082.0,280.0,water
2090.0,206.0,water
