wavelength,absorbance,drug_type
550.0,0.0066594,Heroin
554.0,3.0561300000000002e-06,Heroin
558.0,3.0561300000000002e-06,Heroin
562.0,3.0561300000000002e-06,Heroin
566.0,3.0561300000000002e-06,Heroin
570.0,3.05646e-06,Heroin
574.0,3.05646e-06,Heroin
578.0,3.05646e-06,Heroin
582.0,3.0567900000000003e-06,Heroin
586.0,3.0567900000000003e-06,Heroin
590.0,3.05712e-06,Heroin
594.0,3.05712e-06,Heroin
598.0,3.0574500000000003e-06,Heroin
602.0,3.0574500000000003e-06,Heroin
606.0,3.05778e-06,Heroin
610.0,3.05778e-06,Heroin
614.0,3.05778e-06,Heroin
618.0,3.05811e-06,Heroin
622.0,3.05811e-06,Heroin
626.0,3.05811e-06,Heroin
630.0,3.05811e-06,Heroin
634.0,3.05844e-06,Heroin
638.0,3.05844e-06,Heroin
642.0,3.05844e-06,Heroin
646.0,3.05844e-06,Heroin
650.0,3.05844e-06,Heroin
654.0,3.05844e-06,Heroin
658.0,3.0591000000000005e-06,Heroin
662.0,3.0591000000000005e-06,Heroin
666.0,3.0594300000000003e-06,Heroin
670.0,3.0594300000000003e-06,Heroin
674.0,3.0594300000000003e-06,Heroin
678.0,3.0594300000000003e-06,Heroin
682.0,3.0600900000000003e-06,Heroin
686.0,3.0600900000000003e-06,Heroin
690.0,3.0600900000000003e-06,Heroin
694.0,3.06042e-06,Heroin
698.0,3.06042e-06,Heroin
702.0,3.06042e-06,Heroin
706.0,3.06042e-06,Heroin
710.0,3.0607500000000003e-06,Heroin
714.0,3.0607500000000003e-06,Heroin
718.0,3.0607500000000003e-06,Heroin
722.0,3.0607500000000003e-06,Heroin
726.0,3.06141e-06,Heroin
730.0,3.06141e-06,Heroin
734.0,3.06174e-06,Heroin
738.0,3.06174e-06,Heroin
742.0,3.06174e-06,Heroin
746.0,3.06174e-06,Heroin
750.0,3.06174e-06,Heroin
754.0,3.06174e-06,Heroin
758.0,3.0624e-06,Heroin
762.0,3.0624e-06,Heroin
766.0,3.0624e-06,Heroin
770.0,3.0627300000000003e-06,Heroin
774.0,3.0627300000000003e-06,Heroin
778.0,3.0627300000000003e-06,Heroin
782.0,3.06306e-06,Heroin
786.0,3.06306e-06,Heroin
790.0,3.0633900000000003e-06,Heroin
794.0,3.0633900000000003e-06,Heroin
798.0,3.06372e-06,Heroin
802.0,3.06372e-06,Heroin
806.0,3.0640500000000003e-06,Heroin
810.0,3.0640500000000003e-06,Heroin
814.0,3.0640500000000003e-06,Heroin
818.0,3.0640500000000003e-06,Heroin
822.0,3.0640500000000003e-06,Heroin
826.0,3.0640500000000003e-06,Heroin
830.0,3.0640500000000003e-06,Heroin
834.0,3.0640500000000003e-06,Heroin
838.0,3.0640500000000003e-06,Heroin
842.0,3.0640500000000003e-06,Heroin
846.0,3.0640500000000003e-06,Heroin
850.0,3.0640500000000003e-06,Heroin
854.0,3.0640500000000003e-06,Heroin
858.0,3.06438e-06,Heroin
862.0,3.06438e-06,Heroin
866.0,3.06438e-06,Heroin
870.0,3.06438e-06,Heroin
874.0,3.06438e-06,Heroin
878.0,3.06438e-06,Heroin
882.0,3.06471e-06,Heroin
886.0,3.06471e-06,Heroin
890.0,3.06471e-06,Heroin
894.0,3.06471e-06,Heroin
898.0,3.06471e-06,Heroin
902.0,3.06471e-06,Heroin
906.0,3.06504e-06,Heroin
910.0,3.06504e-06,Heroin
914.0,3.06504e-06,Heroin
918.0,3.06504e-06,Heroin
922.0,3.06504e-06,Heroin
926.0,3.06504e-06,Heroin
930.0,3.06537e-06,Heroin
934.0,3.06537e-06,Heroin
938.0,3.06537e-06,Heroin
942.0,3.06537e-06,Heroin
946.0,3.06537e-06,Heroin
950.0,3.06537e-06,Heroin
954.0,3.0657e-06,Heroin
958.0,3.0657e-06,Heroin
962.0,3.0657e-06,Heroin
966.0,3.0657e-06,Heroin
970.0,3.0657e-06,Heroin
974.0,3.0657e-06,Heroin
978.0,3.0660300000000004e-06,Heroin
982.0,3.0660300000000004e-06,Heroin
986.0,3.0660300000000004e-06,Heroin
990.0,3.0660300000000004e-06,Heroin
994.0,3.0660300000000004e-06,Heroin
998.0,3.0660300000000004e-06,Heroin
1002.0,3.06636e-06,Heroin
1006.0,3.06636e-06,Heroin
1010.0,3.06636e-06,Heroin
1014.0,3.06636e-06,Heroin
1018.0,3.06636e-06,Heroin
1022.0,3.06636e-06,Heroin
1026.0,3.06636e-06,Heroin
1030.0,3.06636e-06,Heroin
1034.0,3.06636e-06,Heroin
1038.0,3.06636e-06,Heroin
1042.0,3.06636e-06,Heroin
1046.0,3.06636e-06,Heroin
1050.0,3.06636e-06,Heroin
1054.0,3.06636e-06,Heroin
1058.0,3.06636e-06,Heroin
1062.0,3.06636e-06,Heroin
1066.0,3.06636e-06,Heroin
1070.0,3.06636e-06,Heroin
1074.0,3.06636e-06,Heroin
1078.0,3.06636e-06,Heroin
1082.0,3.06636e-06,Heroin
1086.0,3.06636e-06,Heroin
1090.0,3.06636e-06,Heroin
1094.0,3.06636e-06,Heroin
1098.0,3.06636e-06,Heroin
1102.0,3.0660300000000004e-06,Heroin
1106.0,3.0657e-06,Heroin
1110.0,3.06537e-06,Heroin
1114.0,3.06537e-06,Heroin
1118.0,3.06504e-06,Heroin
1122.0,3.06471e-06,Heroin
1126.0,3.06438e-06,Heroin
1130.0,3.0640500000000003e-06,Heroin
1134.0,3.06372e-06,Heroin
1138.0,3.0633900000000003e-06,Heroin
1142.0,3.06306e-06,Heroin
1146.0,3.0624e-06,Heroin
1150.0,3.06174e-06,Heroin
1154.0,3.06174e-06,Heroin
1158.0,3.06141e-06,Heroin
1162.0,3.0607500000000003e-06,Heroin
1166.0,3.0607500000000003e-06,Heroin
1170.0,3.06042e-06,Heroin
1174.0,3.0600900000000003e-06,Heroin
1178.0,3.0594300000000003e-06,Heroin
1182.0,3.0594300000000003e-06,Heroin
1186.0,3.0591000000000005e-06,Heroin
1190.0,3.05844e-06,Heroin
1194.0,3.05844e-06,Heroin
1198.0,3.05844e-06,Heroin
1202.0,3.05844e-06,Heroin
1206.0,3.05844e-06,Heroin
1210.0,3.05844e-06,Heroin
1214.0,3.05844e-06,Heroin
1218.0,3.0591000000000005e-06,Heroin
1222.0,3.0594300000000003e-06,Heroin
1226.0,3.0594300000000003e-06,Heroin
1230.0,3.0594300000000003e-06,Heroin
1234.0,3.0600900000000003e-06,Heroin
1238.0,3.06042e-06,Heroin
1242.0,3.0607500000000003e-06,Heroin
1246.0,3.0607500000000003e-06,Heroin
1250.0,3.06141e-06,Heroin
1254.0,3.06174e-06,Heroin
1258.0,3.06174e-06,Heroin
1262.0,3.0624e-06,Heroin
1266.0,3.0627300000000003e-06,Heroin
1270.0,3.06306e-06,Heroin
1274.0,3.0633900000000003e-06,Heroin
1278.0,3.06372e-06,Heroin
1282.0,3.0640500000000003e-06,Heroin
1286.0,3.06438e-06,Heroin
1290.0,3.06471e-06,Heroin
1294.0,3.06504e-06,Heroin
1298.0,3.06537e-06,Heroin
1302.0,3.0657e-06,Heroin
1306.0,3.0660300000000004e-06,Heroin
1310.0,3.0660300000000004e-06,Heroin
1314.0,3.0666900000000004e-06,Heroin
1318.0,3.06702e-06,Heroin
1322.0,3.06735e-06,Heroin
1326.0,3.06768e-06,Heroin
1330.0,3.06801e-06,Heroin
1334.0,3.06834e-06,Heroin
1338.0,3.06867e-06,Heroin
1342.0,3.069e-06,Heroin
1346.0,3.0693300000000004e-06,Heroin
1350.0,3.06966e-06,Heroin
1354.0,3.0699900000000004e-06,Heroin
1358.0,3.07032e-06,Heroin
1362.0,3.07065e-06,Heroin
1366.0,3.07098e-06,Heroin
1370.0,3.07131e-06,Heroin
1374.0,3.07164e-06,Heroin
1378.0,3.07197e-06,Heroin
1382.0,3.0723000000000002e-06,Heroin
1386.0,3.0723000000000002e-06,Heroin
1390.0,3.0723000000000002e-06,Heroin
1394.0,3.0726300000000004e-06,Heroin
1398.0,3.0726300000000004e-06,Heroin
1402.0,3.0726300000000004e-06,Heroin
1406.0,3.0729600000000002e-06,Heroin
1410.0,3.0729600000000002e-06,Heroin
1414.0,3.0729600000000002e-06,Heroin
1418.0,3.0729600000000002e-06,Heroin
1422.0,3.0729600000000002e-06,Heroin
1426.0,3.07329e-06,Heroin
1430.0,3.07329e-06,Heroin
1434.0,3.07329e-06,Heroin
1438.0,3.07329e-06,Heroin
1442.0,3.07329e-06,Heroin
1446.0,3.07329e-06,Heroin
1450.0,3.0736200000000002e-06,Heroin
1454.0,3.0736200000000002e-06,Heroin
1458.0,3.0736200000000002e-06,Heroin
1462.0,3.0736200000000002e-06,Heroin
1466.0,3.0736200000000002e-06,Heroin
1470.0,3.0736200000000002e-06,Heroin
1474.0,3.07395e-06,Heroin
1478.0,3.07395e-06,Heroin
1482.0,3.07395e-06,Heroin
1486.0,3.0742800000000002e-06,Heroin
1490.0,3.0742800000000002e-06,Heroin
1494.0,3.07461e-06,Heroin
1498.0,3.07461e-06,Heroin
1502.0,3.07461e-06,Heroin
1506.0,3.07461e-06,Heroin
1510.0,3.07461e-06,Heroin
1514.0,3.07461e-06,Heroin
1518.0,3.07494e-06,Heroin
1522.0,3.07494e-06,Heroin
1526.0,3.07494e-06,Heroin
1530.0,3.07494e-06,Heroin
1534.0,3.07494e-06,Heroin
1538.0,3.07494e-06,Heroin
1542.0,3.07494e-06,Heroin
1546.0,3.07494e-06,Heroin
1550.0,3.07494e-06,Heroin
1554.0,3.07494e-06,Heroin
1558.0,3.07494e-06,Heroin
1562.0,3.0756000000000003e-06,Heroin
1566.0,3.0756000000000003e-06,Heroin
1570.0,3.0756000000000003e-06,Heroin
1574.0,3.0756000000000003e-06,Heroin
1578.0,3.0756000000000003e-06,Heroin
1582.0,3.0756000000000003e-06,Heroin
1586.0,3.0759300000000005e-06,Heroin
1590.0,3.0759300000000005e-06,Heroin
1594.0,3.0759300000000005e-06,Heroin
1598.0,3.0759300000000005e-06,Heroin
1602.0,3.0759300000000005e-06,Heroin
1606.0,3.0759300000000005e-06,Heroin
1610.0,3.0759300000000005e-06,Heroin
1614.0,3.0756000000000003e-06,Heroin
1618.0,3.0756000000000003e-06,Heroin
1622.0,3.07494e-06,Heroin
1626.0,3.07494e-06,Heroin
1630.0,3.07494e-06,Heroin
1634.0,3.07494e-06,Heroin
1638.0,3.07494e-06,Heroin
1642.0,3.07461e-06,Heroin
1646.0,3.07461e-06,Heroin
1650.0,3.07461e-06,Heroin
1654.0,3.0742800000000002e-06,Heroin
1658.0,3.0742800000000002e-06,Heroin
1662.0,3.07395e-06,Heroin
1666.0,3.0736200000000002e-06,Heroin
1670.0,3.0736200000000002e-06,Heroin
1674.0,3.07329e-06,Heroin
1678.0,3.07329e-06,Heroin
1682.0,3.0729600000000002e-06,Heroin
1686.0,3.0729600000000002e-06,Heroin
1690.0,3.0726300000000004e-06,Heroin
1694.0,3.0726300000000004e-06,Heroin
1698.0,3.0723000000000002e-06,Heroin
1702.0,3.0723000000000002e-06,Heroin
1706.0,3.07197e-06,Heroin
1710.0,3.07164e-06,Heroin
1714.0,3.07164e-06,Heroin
1718.0,3.07131e-06,Heroin
1722.0,3.07131e-06,Heroin
1726.0,3.07098e-06,Heroin
1730.0,3.07098e-06,Heroin
1734.0,3.07065e-06,Heroin
1738.0,3.07065e-06,Heroin
1742.0,3.07032e-06,Heroin
1746.0,3.07032e-06,Heroin
1750.0,3.0699900000000004e-06,Heroin
1754.0,3.06966e-06,Heroin
1758.0,3.06966e-06,Heroin
1762.0,3.0693300000000004e-06,Heroin
1766.0,3.0693300000000004e-06,Heroin
1770.0,3.069e-06,Heroin
1774.0,3.069e-06,Heroin
1778.0,3.06867e-06,Heroin
1782.0,3.06867e-06,Heroin
1786.0,3.06834e-06,Heroin
1790.0,3.06834e-06,Heroin
1794.0,3.06801e-06,Heroin
1798.0,3.06768e-06,Heroin
1802.0,3.06768e-06,Heroin
1806.0,3.06735e-06,Heroin
1810.0,3.06735e-06,Heroin
1814.0,3.06702e-06,Heroin
1818.0,3.06702e-06,Heroin
1822.0,3.0666900000000004e-06,Heroin
1826.0,3.0666900000000004e-06,Heroin
1830.0,3.06636e-06,Heroin
1834.0,3.0660300000000004e-06,Heroin
1838.0,3.0660300000000004e-06,Heroin
1842.0,3.0657e-06,Heroin
1846.0,3.0657e-06,Heroin
1850.0,3.06537e-06,Heroin
1854.0,3.06537e-06,Heroin
1858.0,3.06504e-06,Heroin
1862.0,3.06504e-06,Heroin
1866.0,3.06471e-06,Heroin
1870.0,3.06438e-06,Heroin
1874.0,3.06438e-06,Heroin
1878.0,3.0640500000000003e-06,Heroin
1882.0,3.0640500000000003e-06,Heroin
1886.0,3.06372e-06,Heroin
1890.0,3.06372e-06,Heroin
1894.0,3.0633900000000003e-06,Heroin
1898.0,3.06306e-06,Heroin
1902.0,3.0624e-06,Heroin
1906.0,3.06174e-06,Heroin
1910.0,3.06174e-06,Heroin
1914.0,3.06141e-06,Heroin
1918.0,3.0607500000000003e-06,Heroin
1922.0,3.0607500000000003e-06,Heroin
1926.0,3.06042e-06,Heroin
1930.0,3.0600900000000003e-06,Heroin
1934.0,3.0594300000000003e-06,Heroin
1938.0,3.0591000000000005e-06,Heroin
1942.0,3.05844e-06,Heroin
1946.0,3.05844e-06,Heroin
1950.0,3.05811e-06,Heroin
1954.0,3.05778e-06,Heroin
1958.0,3.0574500000000003e-06,Heroin
1962.0,3.05712e-06,Heroin
1966.0,3.0567900000000003e-06,Heroin
1970.0,3.0561300000000002e-06,Heroin
1974.0,3.0558000000000005e-06,Heroin
1978.0,3.05547e-06,Heroin
1982.0,3.05514e-06,Heroin
1986.0,3.0548100000000002e-06,Heroin
1990.0,3.05448e-06,Heroin
1994.0,3.0541500000000002e-06,Heroin
1998.0,3.0534900000000002e-06,Heroin
2002.0,3.0531600000000004e-06,Heroin
2006.0,3.0528300000000002e-06,Heroin
2010.0,3.0525000000000004e-06,Heroin
2014.0,3.05217e-06,Heroin
2018.0,3.05184e-06,Heroin
2022.0,3.05151e-06,Heroin
2026.0,3.05118e-06,Heroin
2030.0,3.05052e-06,Heroin
2034.0,3.05019e-06,Heroin
2038.0,3.0498600000000004e-06,Heroin
2042.0,3.04953e-06,Heroin
2046.0,3.0492000000000004e-06,Heroin
2050.0,3.04887e-06,Heroin
2054.0,3.04854e-06,Heroin
2058.0,3.04788e-06,Heroin
2062.0,3.04755e-06,Heroin
2066.0,3.04722e-06,Heroin
2070.0,3.04689e-06,Heroin
2074.0,3.0465600000000004e-06,Heroin
2078.0,3.04623e-06,Heroin
2082.0,3.0459000000000003e-06,Heroin
2086.0,3.04524e-06,Heroin
2090.0,3.04425e-06,Heroin
2094.0,3.0439200000000003e-06,Heroin
2098.0,3.04293e-06,Heroin
2102.0,3.0426000000000003e-06,Heroin
2106.0,3.04194e-06,Heroin
2110.0,3.04161e-06,Heroin
2114.0,3.04095e-06,Heroin
2118.0,3.04029e-06,Heroin
2122.0,3.03963e-06,Heroin
2126.0,3.0393000000000003e-06,Heroin
2130.0,3.03864e-06,Heroin
2134.0,3.0379800000000003e-06,Heroin
2138.0,3.0373200000000003e-06,Heroin
2142.0,3.0366600000000002e-06,Heroin
2146.0,3.0360000000000002e-06,Heroin
2150.0,3.03534e-06,Heroin
2154.0,3.0346800000000002e-06,Heroin
2158.0,3.0340200000000002e-06,Heroin
2162.0,3.03336e-06,Heroin
2166.0,3.0327e-06,Heroin
2170.0,3.03204e-06,Heroin
2174.0,3.03105e-06,Heroin
2178.0,3.03039e-06,Heroin
2182.0,3.0294e-06,Heroin
2186.0,3.02874e-06,Heroin
2190.0,3.02775e-06,Heroin
2194.0,3.0264300000000003e-06,Heroin
2198.0,3.02544e-06,Heroin
2202.0,3.02478e-06,Heroin
2206.0,3.0237900000000003e-06,Heroin
2210.0,3.0228e-06,Heroin
2214.0,3.02181e-06,Heroin
2218.0,3.02082e-06,Heroin
2222.0,3.0198300000000003e-06,Heroin
2226.0,3.01884e-06,Heroin
2230.0,3.0178500000000003e-06,Heroin
2234.0,3.01686e-06,Heroin
2238.0,3.0158700000000002e-06,Heroin
2242.0,3.01488e-06,Heroin
2246.0,3.01389e-06,Heroin
2250.0,3.0129000000000004e-06,Heroin
2254.0,3.01191e-06,Heroin
2258.0,3.01092e-06,Heroin
2262.0,3.0096000000000004e-06,Heroin
2266.0,3.00861e-06,Heroin
2270.0,3.00762e-06,Heroin
2274.0,3.00663e-06,Heroin
2278.0,3.0056400000000003e-06,Heroin
2282.0,3.00465e-06,Heroin
2286.0,3.0036600000000003e-06,Heroin
2290.0,3.0030000000000003e-06,Heroin
2294.0,3.00201e-06,Heroin
2298.0,3.0010200000000003e-06,Heroin
2302.0,3.00003e-06,Heroin
2306.0,2.9990400000000003e-06,Heroin
2310.0,2.99805e-06,Heroin
2314.0,2.9970600000000002e-06,Heroin
2318.0,2.9957400000000002e-06,Heroin
2322.0,2.99475e-06,Heroin
2326.0,2.99409e-06,Heroin
2330.0,2.9931e-06,Heroin
2334.0,2.99211e-06,Heroin
2338.0,2.99112e-06,Heroin
2342.0,2.99046e-06,Heroin
2346.0,2.9894700000000004e-06,Heroin
2350.0,2.98848e-06,Heroin
2354.0,2.98749e-06,Heroin
2358.0,2.9865e-06,Heroin
2362.0,2.98551e-06,Heroin
2366.0,2.98452e-06,Heroin
2370.0,2.9835300000000003e-06,Heroin
2374.0,2.9825400000000005e-06,Heroin
2378.0,2.98188e-06,Heroin
2382.0,2.9808900000000003e-06,Heroin
2386.0,2.9799e-06,Heroin
2390.0,2.97891e-06,Heroin
2394.0,2.97792e-06,Heroin
2398.0,2.9769300000000002e-06,Heroin
2402.0,2.9759400000000004e-06,Heroin
2406.0,2.97528e-06,Heroin
2410.0,2.97429e-06,Heroin
2414.0,2.9733000000000004e-06,Heroin
2418.0,2.97231e-06,Heroin
2422.0,2.97132e-06,Heroin
2426.0,2.97033e-06,Heroin
2430.0,2.9693400000000004e-06,Heroin
2434.0,2.96835e-06,Heroin
2438.0,2.96769e-06,Heroin
2442.0,2.9667000000000003e-06,Heroin
2446.0,2.9657100000000005e-06,Heroin
2450.0,2.96472e-06,Heroin
2454.0,2.96439e-06,Heroin
2458.0,2.9640600000000003e-06,Heroin
2462.0,2.96373e-06,Heroin
2466.0,2.9634000000000003e-06,Heroin
2470.0,2.9627400000000003e-06,Heroin
2474.0,2.9627400000000003e-06,Heroin
2478.0,2.9627400000000003e-06,Heroin
2482.0,2.9624100000000005e-06,Heroin
2486.0,2.96175e-06,Heroin
2490.0,2.96175e-06,Heroin
2494.0,2.9614200000000003e-06,Heroin
2498.0,2.96109e-06,Heroin
2502.0,2.96043e-06,Heroin
2506.0,2.96043e-06,Heroin
2510.0,2.9601000000000003e-06,Heroin
2514.0,2.9594400000000002e-06,Heroin
2518.0,2.9594400000000002e-06,Heroin
2522.0,2.9594400000000002e-06,Heroin
2526.0,2.9591100000000005e-06,Heroin
2530.0,2.95878e-06,Heroin
2534.0,2.95845e-06,Heroin
2538.0,2.9581200000000002e-06,Heroin
2542.0,2.95779e-06,Heroin
2546.0,2.9574600000000002e-06,Heroin
2550.0,2.95713e-06,Heroin
2554.0,2.9568000000000002e-06,Heroin
2558.0,2.9568000000000002e-06,Heroin
2562.0,2.9564700000000004e-06,Heroin
2566.0,2.95614e-06,Heroin
2570.0,2.9558100000000004e-06,Heroin
2574.0,2.9558100000000004e-06,Heroin
2578.0,2.9554799999999998e-06,Heroin
2582.0,2.95515e-06,Heroin
2586.0,2.95515e-06,Heroin
2590.0,2.95515e-06,Heroin
2594.0,2.95515e-06,Heroin
2598.0,2.95515e-06,Heroin
2602.0,2.95515e-06,Heroin
2606.0,2.95515e-06,Heroin
2610.0,2.9554799999999998e-06,Heroin
2614.0,2.9554799999999998e-06,Heroin
2618.0,2.9554799999999998e-06,Heroin
2622.0,2.9554799999999998e-06,Heroin
2626.0,2.9554799999999998e-06,Heroin
2630.0,2.9558100000000004e-06,Heroin
2634.0,2.9558100000000004e-06,Heroin
2638.0,2.9558100000000004e-06,Heroin
2642.0,2.9558100000000004e-06,Heroin
2646.0,2.95614e-06,Heroin
2650.0,2.95614e-06,Heroin
2654.0,2.95614e-06,Heroin
2658.0,2.95614e-06,Heroin
2662.0,2.95614e-06,Heroin
2666.0,2.9564700000000004e-06,Heroin
2670.0,2.9564700000000004e-06,Heroin
2674.0,2.9564700000000004e-06,Heroin
2678.0,2.9564700000000004e-06,Heroin
2682.0,2.9564700000000004e-06,Heroin
2686.0,2.9564700000000004e-06,Heroin
2690.0,2.9564700000000004e-06,Heroin
2694.0,2.9564700000000004e-06,Heroin
2698.0,2.9564700000000004e-06,Heroin
2702.0,2.9564700000000004e-06,Heroin
2706.0,2.9568000000000002e-06,Heroin
