wavelength,absorbance,drug_type
550.0,0.0066594,Methadone
554.0,3.2208e-06,Methadone
558.0,3.2208e-06,Methadone
562.0,3.2208e-06,Methadone
566.0,3.2208e-06,Methadone
570.0,3.2208e-06,Methadone
574.0,3.2208e-06,Methadone
578.0,3.2274000000000002e-06,Methadone
582.0,3.2274000000000002e-06,Methadone
586.0,3.2274000000000002e-06,Methadone
590.0,3.2274000000000002e-06,Methadone
594.0,3.2274000000000002e-06,Methadone
598.0,3.2274000000000002e-06,Methadone
602.0,3.2274000000000002e-06,Methadone
606.0,3.2340000000000003e-06,Methadone
610.0,3.2340000000000003e-06,Methadone
614.0,3.2340000000000003e-06,Methadone
618.0,3.2274000000000002e-06,Methadone
622.0,3.2274000000000002e-06,Methadone
626.0,3.2274000000000002e-06,Methadone
630.0,3.2175e-06,Methadone
634.0,3.2109e-06,Methadone
638.0,3.2109e-06,Methadone
642.0,3.2109e-06,Methadone
646.0,3.2109e-06,Methadone
650.0,3.2109e-06,Methadone
654.0,3.2175e-06,Methadone
658.0,3.2208e-06,Methadone
662.0,3.2175e-06,Methadone
666.0,3.2043e-06,Methadone
670.0,3.2043e-06,Methadone
674.0,3.2043e-06,Methadone
678.0,3.2043e-06,Methadone
682.0,3.2043e-06,Methadone
686.0,3.2043e-06,Methadone
690.0,3.2043e-06,Methadone
694.0,3.2043e-06,Methadone
698.0,3.2043e-06,Methadone
702.0,3.2043e-06,Methadone
706.0,3.1977e-06,Methadone
710.0,3.1977e-06,Methadone
714.0,3.1977e-06,Methadone
718.0,3.1911000000000002e-06,Methadone
722.0,3.1911000000000002e-06,Methadone
726.0,3.1878e-06,Methadone
730.0,3.1812e-06,Methadone
734.0,3.168e-06,Methadone
738.0,3.168e-06,Methadone
742.0,3.1647e-06,Methadone
746.0,3.1647e-06,Methadone
750.0,3.1647e-06,Methadone
754.0,3.168e-06,Methadone
758.0,3.1746e-06,Methadone
762.0,3.1746e-06,Methadone
766.0,3.1746e-06,Methadone
770.0,3.1812e-06,Methadone
774.0,3.1812e-06,Methadone
778.0,3.1746e-06,Methadone
782.0,3.168e-06,Methadone
786.0,3.168e-06,Methadone
790.0,3.168e-06,Methadone
794.0,3.168e-06,Methadone
798.0,3.168e-06,Methadone
802.0,3.1647e-06,Methadone
806.0,3.1647e-06,Methadone
810.0,3.1647e-06,Methadone
814.0,3.1647e-06,Methadone
818.0,3.1647e-06,Methadone
822.0,3.1647e-06,Methadone
826.0,3.1647e-06,Methadone
830.0,3.1647e-06,Methadone
834.0,3.1647e-06,Methadone
838.0,3.1647e-06,Methadone
842.0,3.1581e-06,Methadone
846.0,3.1647e-06,Methadone
850.0,3.1647e-06,Methadone
854.0,3.1647e-06,Methadone
858.0,3.168e-06,Methadone
862.0,3.1746e-06,Methadone
866.0,3.1812e-06,Methadone
870.0,3.1812e-06,Methadone
874.0,3.1878e-06,Methadone
878.0,3.1878e-06,Methadone
882.0,3.1977e-06,Methadone
886.0,3.1977e-06,Methadone
890.0,3.1911000000000002e-06,Methadone
894.0,3.1878e-06,Methadone
898.0,3.1812e-06,Methadone
902.0,3.1746e-06,Methadone
906.0,3.168e-06,Methadone
910.0,3.168e-06,Methadone
914.0,3.168e-06,Methadone
918.0,3.168e-06,Methadone
922.0,3.168e-06,Methadone
926.0,3.168e-06,Methadone
930.0,3.168e-06,Methadone
934.0,3.168e-06,Methadone
938.0,3.168e-06,Methadone
942.0,3.1746e-06,Methadone
946.0,3.1812e-06,Methadone
950.0,3.1812e-06,Methadone
954.0,3.168e-06,Methadone
958.0,3.1647e-06,Methadone
962.0,3.1581e-06,Methadone
966.0,3.1515000000000002e-06,Methadone
970.0,3.1515000000000002e-06,Methadone
974.0,3.1647e-06,Methadone
978.0,3.168e-06,Methadone
982.0,3.1911000000000002e-06,Methadone
986.0,3.2109e-06,Methadone
990.0,3.1977e-06,Methadone
994.0,3.1812e-06,Methadone
998.0,3.1647e-06,Methadone
1002.0,3.135e-06,Methadone
1006.0,3.1284e-06,Methadone
1010.0,3.1218e-06,Methadone
1014.0,3.1086e-06,Methadone
1018.0,3.0987e-06,Methadone
1022.0,3.0921000000000004e-06,Methadone
1026.0,3.0921000000000004e-06,Methadone
1030.0,3.0987e-06,Methadone
1034.0,3.0987e-06,Methadone
1038.0,3.1053e-06,Methadone
1042.0,3.1086e-06,Methadone
1046.0,3.1053e-06,Methadone
1050.0,3.1086e-06,Methadone
1054.0,3.1086e-06,Methadone
1058.0,3.1152e-06,Methadone
1062.0,3.1152e-06,Methadone
1066.0,3.1152e-06,Methadone
1070.0,3.1053e-06,Methadone
1074.0,3.1053e-06,Methadone
1078.0,3.1053e-06,Methadone
1082.0,3.0987e-06,Methadone
1086.0,3.0921000000000004e-06,Methadone
1090.0,3.0921000000000004e-06,Methadone
1094.0,3.0921000000000004e-06,Methadone
1098.0,3.0921000000000004e-06,Methadone
1102.0,3.0921000000000004e-06,Methadone
1106.0,3.0921000000000004e-06,Methadone
1110.0,3.0921000000000004e-06,Methadone
1114.0,3.0921000000000004e-06,Methadone
1118.0,3.0921000000000004e-06,Methadone
1122.0,3.0987e-06,Methadone
1126.0,3.0987e-06,Methadone
1130.0,3.1053e-06,Methadone
1134.0,3.1053e-06,Methadone
1138.0,3.0987e-06,Methadone
1142.0,3.0987e-06,Methadone
1146.0,3.0987e-06,Methadone
1150.0,3.0987e-06,Methadone
1154.0,3.0987e-06,Methadone
1158.0,3.0987e-06,Methadone
1162.0,3.0921000000000004e-06,Methadone
1166.0,3.0921000000000004e-06,Methadone
1170.0,3.0921000000000004e-06,Methadone
1174.0,3.0855000000000004e-06,Methadone
1178.0,3.0855000000000004e-06,Methadone
1182.0,3.0822000000000003e-06,Methadone
1186.0,3.0756000000000003e-06,Methadone
1190.0,3.069e-06,Methadone
1194.0,3.0624e-06,Methadone
1198.0,3.0525000000000004e-06,Methadone
1202.0,3.0459000000000003e-06,Methadone
1206.0,3.0393000000000003e-06,Methadone
1210.0,3.0459000000000003e-06,Methadone
1214.0,3.0459000000000003e-06,Methadone
1218.0,3.0393000000000003e-06,Methadone
1222.0,3.0327e-06,Methadone
